CSC_rate	Progeny_rates	Mature_cell_rates	Migration_rate	RMSE	iter_loss	shape_loss	proportion_loss
192.04381619652477	1.907215702800645	938.1254259484452	285.842731133963	42182.5528486137	0.1333333333333333	0.2758602902031844	0.1008707161451421
139.2008720336845	6.660890148553294	821.0946590136257	187.16274062821367	41392.00660319267	0.2222222222222222	0.284155541500748	0.0979614269717085
109.42836659451966	3.527420588637554	1052.4781862507357	228.25735022673356	42526.17367359515	0.1333333333333333	0.2770896970621873	0.0692842971740761
152.64085218649603	9.258950604654473	952.6972845629178	216.86843696411424	41281.51938410113	0.5777777777777777	0.2827100644074619	0.0970753232785989
172.93416785701817	5.459578595447103	916.5043133966172	200.41344567191788	41595.83418914645	0.0888888888888888	0.2812294431227936	0.0912991559377054
168.28016697953302	8.710527306610647	1146.0185735936311	185.4308588736233	41049.75686734966	0.4666666666666667	0.2839095344329583	0.0392828497595385
181.4411289885951	8.428585511908432	807.1754673618213	220.98471610949088	41298.15622803664	0.5222222222222223	0.2834597197924969	0.0888054383665053
147.83072079290554	13.652595236076127	962.379787344562	295.440063233904	41274.66351604418	1.2555555555555555	0.277911448879676	0.1418099090230016
195.20347566256328	7.753060631582297	865.0795639820674	86.99364062469637	39601.05321853667	0.0777777777777777	0.3031623283176295	0.1034938026081059
143.13679939896343	3.083978667358545	869.4492949459758	270.9884105802953	42357.97828722743	0.1111111111111111	0.2691876403877059	0.0891222237014726
169.11166767082062	11.101571047455597	1070.8121122833534	200.66635042503992	40716.78970738335	0.7444444444444445	0.2844937777246829	0.0859267882305977
119.94923080883127	4.362650273899902	949.9602983732794	99.275075774178	41278.120909437086	0.2333333333333333	0.2897129406604909	0.0943614588884876
139.2571667259906	12.241058272359291	924.865986422088	105.14550226360436	39339.95024400012	0.5111111111111111	0.302972302016128	0.0550717873455553
186.2110651202128	12.433417255419196	875.084323847673	177.29780221104437	40363.31778687374	0.8111111111111111	0.2869061751589187	0.1118630548598709
128.1644734885806	5.871632240956746	1041.7622940364631	197.75389615141503	41568.07725032307	0.1333333333333333	0.2844836624868237	0.0380586038985168
178.4514341416754	5.571737614452465	942.4911914055268	156.52093750951246	41289.10238982085	0.0222222222222222	0.2870089012071692	0.0821633447553956
151.4570778367525	6.117622565098634	956.418446975768	110.33435207586044	39942.77156921056	0.0222222222222222	0.2940541521336415	0.0679900602224178
123.34741539227666	3.8054477552012624	989.789958364594	89.09294307061776	39490.902875854175	0.3222222222222222	0.2969479358194127	0.093349056528021
175.71014267886852	1.5578762409595384	1089.8577272291086	176.298671100937	40420.28124963056	0.2666666666666666	0.282950324851667	0.0806728307067518
162.02634193096267	9.164716784038772	809.8039822753276	184.80959945766188	41144.1938235428	0.5	0.283808219691873	0.1181341519318341
188.28031439343755	2.046693691171133	1032.6217175293089	189.04198925430623	40760.31365657282	0.2555555555555555	0.2826765132648143	0.0969188135587055
155.95625986957464	3.840894427223995	939.7442287751757	179.7195501875284	42038.61803551261	0.1555555555555555	0.2840841931229882	0.12295637106129
121.69513818533534	12.702734665801076	830.0521727456271	111.3977819277138	40121.69324811552	0.5666666666666667	0.2992848931484899	0.0346055197132206
173.42492807593004	13.438231633505232	899.3321750704112	195.0602380942098	40752.58632524959	0.9777777777777776	0.2858955868835326	0.0972883466203587
173.64988560746298	9.52674710224693	1099.3544339594	262.7173503175896	41580.89550766898	0.7333333333333333	0.2815080660559119	0.0946760218029351
184.91317599470804	3.9505419008404328	1094.6120180541786	127.18520909176593	42361.70498714159	0.2222222222222222	0.2791777780841903	0.1065999706359294
175.09200846739722	1.899068678506695	909.9677434049604	188.72054429278583	41306.65318325094	0.2555555555555555	0.28550597876897	0.1143033658141287
